sex,age,stu,school,video_name,total_avg,total_std,total_var,total_max,total_min,total_q25,total_q50,total_q75,red_avg,red_std,red_var,red_max,red_min,red_q25,red_q50,red_q75,green_avg,green_std,green_var,green_max,green_min,green_q25,green_q50,green_q75,brown_avg,brown_std,brown_var,brown_max,brown_min,brown_q25,brown_q50,brown_q75
1,3,0,TPH_Ruifang,1_3_0_C0193,57123.235,2527.2209,6386845.4998,62629,52976,55268.75,56543.0,58533.5,29190.475,1055.7957,1114704.5427,30904,26592,28734.75,29302.0,29871.75,8933.8433,943.7492,890662.5155,10826,7550,8077.25,8663.5,9679.25,18998.9167,2818.4975,7943927.9164,23814,14785,16084.75,19060.0,21542.0
1,3,0,TPH_Ruifang,1_3_0_C0194,50280.87,1270.4371,1614010.3298,53155,48416,49215.25,49747.0,51542.5,19611.2883,2604.6183,6784036.7152,23972,16116,17290.25,18926.0,22149.75,13990.2283,2469.8635,6100225.5062,18175,10869,11640.0,13260.0,16371.5,16679.3533,1439.3756,2071802.0452,18999,13381,15490.75,16944.0,18006.75
1,4,0,TPH_Ruifang,1_4_0_C0076,59055.6267,2144.8835,4600525.434,62528,55153,57165.75,59471.0,60895.0,31359.04,1497.9094,2243732.4684,34173,28915,29890.25,31368.5,32727.25,9520.6633,925.5742,856687.5233,11289,7749,8785.75,9457.0,10194.75,18175.9233,727.7409,529606.8475,20171,16556,17668.0,18106.5,18503.5
1,4,0,TPH_Ruifang,1_4_0_C0077,57339.56,2377.2422,5651280.2664,65296,53506,55694.75,57121.0,57974.75,28882.2083,2919.353,8522621.8049,35579,25060,26800.75,27719.0,30382.0,10460.285,1008.8407,1017759.6204,12542,7930,9887.0,10304.0,11134.75,17997.0667,4023.4966,16188525.2322,24223,9584,14543.5,18756.5,20675.5
1,4,0,TPH_Ruifang,1_4_0_C0078,46797.1817,6330.9689,40081166.872,56609,37097,39717.0,49068.0,51379.75,20049.2867,4560.3126,20796450.9545,27400,12334,16317.0,19955.0,24439.0,14607.1167,3194.1798,10202784.4431,19597,9536,11928.75,14637.0,17373.25,12140.7783,6441.9528,41498756.1725,20531,785,6028.5,14611.5,17883.0
1,4,0,TPH_Ruifang,1_4_0_C0186,57098.1317,1220.984,1490801.891,60283,54808,56228.75,57059.0,57548.0,27300.1783,3200.8891,10245691.2032,32470,21221,24351.25,27980.5,29917.5,13120.64,1461.6156,2136320.0471,15995,10947,11785.75,13061.5,14204.25,16677.3133,2473.0825,6116137.0385,21535,12363,14746.25,16066.5,19473.0
1,4,0,TPH_Ruifang,1_4_0_C0220,56434.71,995.5125,991045.0392,59322,54713,55726.0,56224.0,56753.25,28366.205,1661.7443,2761394.0796,32046,25327,27181.25,28000.0,29243.25,13924.9617,2065.9744,4268250.1769,17795,11097,12461.0,13091.0,15601.25,14143.5433,1775.8207,3153538.9848,17406,8918,13480.0,14397.0,15420.75
1,4,1,TPH_Ruifang,1_4_1_C0182,62173.7667,1782.7446,3178178.2956,65447,58055,61022.0,62374.5,63350.5,30263.465,2580.266,6657772.8288,34306,25625,27687.5,30746.5,32485.5,7292.1817,602.2449,362698.942,8541,6527,6871.5,7071.5,7528.5,24618.12,2336.5405,5459421.5223,29178,20772,22814.75,23678.0,26990.75
1,5,0,TPH_Ruifang,1_5_0_C0195,55602.4733,5632.4006,31723936.7126,64447,48725,50080.75,54735.0,61194.25,27210.0483,1688.1368,2849805.7027,30821,25433,25972.75,26314.5,28849.25,6908.725,1911.5096,3653868.7994,9797,3301,5322.5,7006.0,8668.25,21483.7,3862.4761,14918721.7733,27193,15698,17800.25,21076.5,25574.0
1,5,0,TPH_Ruifang,1_5_0_C0196,53890.18,1268.7137,1609634.4943,56304,51266,52669.75,54274.0,54763.75,26134.2983,2209.9995,4884097.8727,30069,20965,24928.5,25418.0,28042.0,11094.2933,1555.4414,2419398.0173,12767,8099,9320.75,11827.0,12342.0,16661.5883,1305.5456,1704449.2522,19684,14423,15568.75,16357.5,17498.0
